simulationtime,,percentage time simulating,totalsearchtime,iterations
30.55,,76%,40,2309
28.68,,72%,40,2230
30.2,,75%,40,2369
28.68,,72%,40,2322
29.38,,73%,40,2517
27.64,,69%,40,2503
26.97,,67%,40,2685
27.6,,69%,40,2829
27.36,,68%,40,2927
26.54,,66%,40,2882
25.9,,65%,40,2335
26.69,,67%,40,2874
25.98,,65%,40,2941
24.12,,60%,40,2968
23.82,,60%,40,2968
23.25,,57%,41,3151
25.97,,65%,40,3093
25.83,,65%,40,3127
22.17,,55%,40,3246
21.06,,53%,40,3050
19.97,,50%,40,4099
19.23,,48%,40,4300
17.75,,44%,40,4238
16.53,,41%,40,4278
15.95,,40%,40,4291
15.32,,38%,40,6054
12.49,,31%,40,5085
10.97,,27%,40,6343
9.97,,25%,40,6764
6.94,,17%,40,6678
4.18,,10%,40,5743
2.26,,6%,40,7531
0.34,,1%,40,7120
