iterations, total search time, simulation time
2230, 40.0, 28.68
2369, 40.01, 30.2
2322, 40.01, 28.68
2517, 40.01, 29.38
2503, 40.01, 27.64
2685, 40.0, 26.97
2829, 40.01, 27.6
2927, 40.01, 27.36
2882, 40.01, 26.54
2335, 40.01, 25.9
2874, 40.01, 26.69
2941, 40.01, 25.98
2968, 40.0, 24.12
2968, 40.01, 23.82
3151, 40.5, 23.25
3093, 40.02, 25.97
3127, 40.01, 25.83
3246, 40.01, 22.17
3050, 40.0, 21.06
4099, 40.01, 19.97
4300, 40.0, 19.23
4238, 40.0, 17.75
4278, 40.0, 16.53
4291, 40.01, 15.95
6054, 40.0, 15.32
5085, 40.01, 12.49
6343, 40.0, 10.97
6764, 40.01, 9.97
6678, 40.01, 6.94
5743, 40.0, 4.18
7531, 40.01, 2.26
7120, 40.33, 0.34
2782, 60.24, 38.6
2834, 60.02, 37.3
2966, 60.01, 37.1
2957, 60.01, 36.78
3052, 60.01, 36.06
2869, 60.01, 39.14
2856, 60.0, 38.6
2704, 60.01, 36.75
2611, 60.02, 37.64
2762, 60.02, 38.44
3083, 60.0, 36.7
3140, 60.02, 35.34
3061, 60.0, 35.6
3248, 60.02, 35.14
3205, 60.01, 34.55
3371, 60.02, 37.62
3484, 60.01, 36.98
3438, 60.01, 35.82
3477, 60.01, 32.22
3182, 60.03, 32.32
3699, 60.0, 31.69
3826, 60.0, 30.72
3910, 60.01, 29.18
3955, 60.0, 28.73
4105, 60.0, 27.93
4357, 60.58, 26.98
4531, 60.01, 26.25
4944, 60.01, 26.17
4884, 60.0, 24.0
4830, 60.04, 26.02
5248, 60.0, 22.27
5483, 60.0, 21.6
5782, 60.0, 19.83
5034, 60.01, 19.03
6440, 60.0, 15.31
6618, 60.0, 15.87
8486, 60.0, 13.28
9445, 60.0, 10.12
9085, 60.0, 5.54
9029, 60.0, 0.87
2839, 67.01, 44.22
3238, 60.01, 44.54
3388, 60.01, 41.0
3502, 60.01, 42.37
3523, 60.01, 41.23
2931, 60.01, 40.7
2694, 60.01, 42.14
2951, 60.65, 40.87
3821, 60.0, 40.47
4051, 60.0, 40.59
4247, 60.01, 38.79
4284, 60.0, 37.41
4580, 60.0, 38.8
4565, 60.0, 39.26
4888, 60.39, 36.93
4931, 60.0, 35.06
